period,period_key,confidence,confidence_key,method,method_key,mean_var_corrected,mean_es_corrected,mean_var_prefix_superseded,mean_es_prefix_superseded,var_ratio_prefix_over_corrected,es_ratio_prefix_over_corrected,source_current_artifact,source_current_sha256,source_prefix_artifact,source_prefix_sha256
DEV,dev_formation,95%,primary,Historical Simulation (252d),historical_simulation_primary,226.8,366.9,226.8,366.9,1.0,1.0,results/historical_risk/options_hist_risk_v2_dev_formation.json,6e840d4934ead483233aa83bebd232abd94b1652ed410f85408a5a898f5e5f26,results/historical_risk/superseded_volatility_units_fix/options_hist_risk_v2_dev_formation.json,7bd4ea0c3a278c86c31e71fc265fda967d8d8a8ffb3481662f995e95576f459a
DEV,dev_formation,95%,primary,Delta-Normal,delta_normal,201.2,252.3,3193.6,4005.0,15.875,15.875,results/historical_risk/options_hist_risk_v2_dev_formation.json,6e840d4934ead483233aa83bebd232abd94b1652ed410f85408a5a898f5e5f26,results/historical_risk/superseded_volatility_units_fix/options_hist_risk_v2_dev_formation.json,7bd4ea0c3a278c86c31e71fc265fda967d8d8a8ffb3481662f995e95576f459a
DEV,dev_formation,95%,primary,Monte Carlo (50k),monte_carlo,227.8,298.5,8403.7,11816.8,36.89,39.584,results/historical_risk/options_hist_risk_v2_dev_formation.json,6e840d4934ead483233aa83bebd232abd94b1652ed410f85408a5a898f5e5f26,results/historical_risk/superseded_volatility_units_fix/options_hist_risk_v2_dev_formation.json,7bd4ea0c3a278c86c31e71fc265fda967d8d8a8ffb3481662f995e95576f459a
DEV,dev_formation,99%,secondary,Historical Simulation (252d),historical_simulation_primary,423.5,588.5,423.5,588.5,1.0,1.0,results/historical_risk/options_hist_risk_v2_dev_formation.json,6e840d4934ead483233aa83bebd232abd94b1652ed410f85408a5a898f5e5f26,results/historical_risk/superseded_volatility_units_fix/options_hist_risk_v2_dev_formation.json,7bd4ea0c3a278c86c31e71fc265fda967d8d8a8ffb3481662f995e95576f459a
DEV,dev_formation,99%,secondary,Delta-Normal,delta_normal,284.5,326.0,4516.8,5174.8,15.875,15.875,results/historical_risk/options_hist_risk_v2_dev_formation.json,6e840d4934ead483233aa83bebd232abd94b1652ed410f85408a5a898f5e5f26,results/historical_risk/superseded_volatility_units_fix/options_hist_risk_v2_dev_formation.json,7bd4ea0c3a278c86c31e71fc265fda967d8d8a8ffb3481662f995e95576f459a
DEV,dev_formation,99%,secondary,Monte Carlo (50k),monte_carlo,344.0,405.3,13917.9,17342.5,40.463,42.791,results/historical_risk/options_hist_risk_v2_dev_formation.json,6e840d4934ead483233aa83bebd232abd94b1652ed410f85408a5a898f5e5f26,results/historical_risk/superseded_volatility_units_fix/options_hist_risk_v2_dev_formation.json,7bd4ea0c3a278c86c31e71fc265fda967d8d8a8ffb3481662f995e95576f459a
VAL 2024,val_2024,95%,primary,Historical Simulation (252d),historical_simulation_primary,259.3,350.7,259.3,350.7,1.0,1.0,results/historical_risk/options_hist_risk_v2_val_2024.json,4df81b2d7d6078f9f5bf2cb8526838291d2de249e96fe4cbdd7ed4b2a76ef0b8,results/historical_risk/superseded_volatility_units_fix/options_hist_risk_v2_val_2024.json,3a8b75fdd52d17727409b99844426b75fc307a8d38df41f9dabeffd2d89e7918
VAL 2024,val_2024,95%,primary,Delta-Normal,delta_normal,201.1,252.2,3192.1,4003.0,15.875,15.875,results/historical_risk/options_hist_risk_v2_val_2024.json,4df81b2d7d6078f9f5bf2cb8526838291d2de249e96fe4cbdd7ed4b2a76ef0b8,results/historical_risk/superseded_volatility_units_fix/options_hist_risk_v2_val_2024.json,3a8b75fdd52d17727409b99844426b75fc307a8d38df41f9dabeffd2d89e7918
VAL 2024,val_2024,95%,primary,Monte Carlo (50k),monte_carlo,249.3,333.6,10043.1,13453.3,40.289,40.324,results/historical_risk/options_hist_risk_v2_val_2024.json,4df81b2d7d6078f9f5bf2cb8526838291d2de249e96fe4cbdd7ed4b2a76ef0b8,results/historical_risk/superseded_volatility_units_fix/options_hist_risk_v2_val_2024.json,3a8b75fdd52d17727409b99844426b75fc307a8d38df41f9dabeffd2d89e7918
VAL 2024,val_2024,99%,secondary,Historical Simulation (252d),historical_simulation_primary,418.9,471.7,418.9,471.7,1.0,1.0,results/historical_risk/options_hist_risk_v2_val_2024.json,4df81b2d7d6078f9f5bf2cb8526838291d2de249e96fe4cbdd7ed4b2a76ef0b8,results/historical_risk/superseded_volatility_units_fix/options_hist_risk_v2_val_2024.json,3a8b75fdd52d17727409b99844426b75fc307a8d38df41f9dabeffd2d89e7918
VAL 2024,val_2024,99%,secondary,Delta-Normal,delta_normal,284.4,325.8,4514.6,5172.3,15.875,15.875,results/historical_risk/options_hist_risk_v2_val_2024.json,4df81b2d7d6078f9f5bf2cb8526838291d2de249e96fe4cbdd7ed4b2a76ef0b8,results/historical_risk/superseded_volatility_units_fix/options_hist_risk_v2_val_2024.json,3a8b75fdd52d17727409b99844426b75fc307a8d38df41f9dabeffd2d89e7918
VAL 2024,val_2024,99%,secondary,Monte Carlo (50k),monte_carlo,387.7,462.9,15645.0,18581.9,40.355,40.14,results/historical_risk/options_hist_risk_v2_val_2024.json,4df81b2d7d6078f9f5bf2cb8526838291d2de249e96fe4cbdd7ed4b2a76ef0b8,results/historical_risk/superseded_volatility_units_fix/options_hist_risk_v2_val_2024.json,3a8b75fdd52d17727409b99844426b75fc307a8d38df41f9dabeffd2d89e7918
2025 HISTORICAL EVALUATION,historical_evaluation_2025,95%,primary,Historical Simulation (252d),historical_simulation_primary,408.6,814.3,408.6,814.3,1.0,1.0,results/historical_risk/options_hist_risk_v2_historical_evaluation_2025.json,b2c3594445b7f1a726be135cb5cb17f43f69d6a3a938657b3e4faca3dcb62799,results/historical_risk/superseded_volatility_units_fix/options_hist_risk_v2_historical_evaluation_2025.json,8449bf6e20d2095ed564b693ff9567f46490b719de384d593078504710909a2f
2025 HISTORICAL EVALUATION,historical_evaluation_2025,95%,primary,Delta-Normal,delta_normal,455.2,570.8,7225.7,9061.3,15.875,15.875,results/historical_risk/options_hist_risk_v2_historical_evaluation_2025.json,b2c3594445b7f1a726be135cb5cb17f43f69d6a3a938657b3e4faca3dcb62799,results/historical_risk/superseded_volatility_units_fix/options_hist_risk_v2_historical_evaluation_2025.json,8449bf6e20d2095ed564b693ff9567f46490b719de384d593078504710909a2f
2025 HISTORICAL EVALUATION,historical_evaluation_2025,95%,primary,Monte Carlo (50k),monte_carlo,513.0,671.2,18083.9,25318.9,35.248,37.72,results/historical_risk/options_hist_risk_v2_historical_evaluation_2025.json,b2c3594445b7f1a726be135cb5cb17f43f69d6a3a938657b3e4faca3dcb62799,results/historical_risk/superseded_volatility_units_fix/options_hist_risk_v2_historical_evaluation_2025.json,8449bf6e20d2095ed564b693ff9567f46490b719de384d593078504710909a2f
2025 HISTORICAL EVALUATION,historical_evaluation_2025,99%,secondary,Historical Simulation (252d),historical_simulation_primary,701.1,1789.1,701.1,1789.1,1.0,1.0,results/historical_risk/options_hist_risk_v2_historical_evaluation_2025.json,b2c3594445b7f1a726be135cb5cb17f43f69d6a3a938657b3e4faca3dcb62799,results/historical_risk/superseded_volatility_units_fix/options_hist_risk_v2_historical_evaluation_2025.json,8449bf6e20d2095ed564b693ff9567f46490b719de384d593078504710909a2f
